Sample    Real    Imaginary   Mod
304 82.0209 144.262 165.949
305 108.216 135.229 173.199
306 132.901 121.442 180.03
307 155.07 103.171 186.255
308 173.781 80.9213 191.698
309 188.209 55.4186 196.199
310 197.706 27.5735 199.62
311 201.838 -1.56357 201.844
312 200.418 -30.8576 202.78
313 193.522 -59.1512 202.36
314 181.485 -85.3285 200.544
315 164.89 -108.377 197.318
316 144.532 -127.446 192.697
317 121.374 -141.889 186.719
318 96.4925 -151.301 179.452
319 71.016 -155.537 170.983
320 46.0602 -154.713 161.424
321 22.6656 -149.195 150.907
322 1.74084 -139.571 139.582
323 -15.9855 -126.605 127.611
324 -30 -111.194 115.17
325 -40.0254 -94.2999 102.443
326 -46.0262 -76.8957 89.6178
327 -48.1985 -59.9022 76.8854
328 -46.9451 -44.1344 64.4336
329 -42.838 -30.2558 52.4453
330 -36.5713 -18.7442 41.095
331 -28.9068 -9.87137 30.5458
332 -20.6184 -3.6979 20.9474
333 -12.4364 -0.0821483 12.4367
334 -4.99793 1.29635 5.16331
335 1.19457 0.901874 1.49678
336 5.80344 -0.701659 5.8457
337 8.67282 -2.90065 9.14503
338 9.83152 -5.08381 11.0681
339 9.48193 -6.69239 11.6058
340 7.97597 -7.26506 10.7887
341 5.78017 -6.47413 8.67899
342 3.43252 -4.15075 5.38618
343 1.49444 -0.297182 1.5237
344 0.501576 4.91446 4.93999
345 0.917011 11.1568 11.1945
346 3.09042 17.9742 18.2379
347 7.2262 24.8192 25.8497
348 13.3628 31.097 33.8465
349 21.3653 36.2135 42.0463
350 30.9304 39.6236 50.2665
351 41.6057 40.8766 58.3261
352 52.8198 39.6545 66.0485
353 63.9217 35.8014 73.2647
354 74.2276 29.3404 79.8161
355 83.0701 20.4787 85.5571
356 89.847 9.59746 90.3581
357 94.0671 -2.7692 94.1078
358 95.3875 -15.9682 96.7148
359 93.6416 -29.2697 98.1095
360 88.8548 -41.9156 98.2451
361 81.2468 -53.171 97.0989
362 71.2203 -62.3738 94.6722
363 59.3369 -68.9814 90.9907
364 46.2818 -72.6078 86.104
365 32.8193 -73.0516 80.0852
366 19.7428 -70.3109 73.0301
367 7.82236 -64.5846 65.0566
368 -2.24622 -56.2605 56.3053
369 -9.888 -45.8899 46.9431
370 -14.6869 -34.1511 37.1753
371 -16.413 -21.8045 27.2915
372 -15.0378 -9.64197 17.8634
373 -10.7347 1.56642 10.8484
374 -3.86699 11.1233 11.7763
375 5.03817 18.4502 19.1257
376 15.3261 23.1259 27.7434
377 26.2596 24.9132 36.1972
378 37.0701 23.7733 44.0382
379 47.0095 19.8668 51.0351
380 55.4011 13.5407 57.0319
381 61.6855 5.30272 61.913
382 65.4571 -4.21526 65.5927
383 66.4911 -14.3018 68.0119
384 64.7566 -24.2161 69.1364
385 60.4168 -33.2395 68.9569
386 53.8159 -40.7251 67.4884
387 45.4529 -46.1424 64.7694
388 35.9453 -49.1127 60.8615
389 25.9849 -49.4348 55.8481
390 16.2883 -47.0965 49.8337
391 7.54657 -42.2746 42.9429
