Sample    Real    Imaginary   Mod
462 -9.23928e-13 2.23079e-12 2.41455e-12
463 2.20407e-13 6.95061e-12 6.95411e-12
464 -1.99702e-12 -2.32418e-11 2.33274e-11
465 -9.84485e-12 9.98065e-12 1.40191e-11
466 5.82854e-12 7.93131e-12 9.84264e-12
467 1.15947e-11 3.34161e-11 3.53706e-11
468 -2.63375e-12 -1.19231e-11 1.22106e-11
469 1.4155e-11 2.52689e-12 1.43788e-11
470 -4.87567e-13 1.80667e-12 1.8713e-12
471 5.12057e-14 -9.51757e-13 9.53134e-13
472 6.89941e-12 -7.68419e-12 1.03271e-11
473 2.51576e-13 -9.36173e-13 9.69387e-13
474 2.22522e-11 -3.94618e-11 4.53033e-11
475 -3.61334e-12 1.36919e-13 3.61593e-12
476 3.19123e-11 -5.72279e-12 3.24213e-11
477 6.10015e-13 -3.3395e-13 6.95443e-13
478 -4.49051e-12 5.82631e-12 7.35599e-12
479 -3.31056e-12 -4.77215e-12 5.80803e-12
480 -5.93095e-12 1.84285e-11 1.93594e-11
481 9.57323e-14 3.68792e-12 3.68916e-12
482 1.17773e-12 -3.46417e-12 3.6589e-12
483 2.43116e-12 2.60926e-12 3.56634e-12
484 -2.01928e-12 -1.50723e-12 2.51977e-12
485 -4.22113e-12 1.07643e-12 4.35622e-12
486 -2.82967e-12 4.02855e-12 4.92303e-12
487 -1.18641e-11 1.11506e-11 1.62817e-11
488 -6.22483e-12 6.88048e-12 9.27844e-12
489 2.21743e-12 5.02316e-12 5.49083e-12
490 -2.92318e-12 -3.20592e-13 2.9407e-12
491 -4.50165e-12 -6.20368e-12 7.66488e-12
492 2.41335e-12 1.88236e-12 3.06064e-12
493 2.20407e-12 -3.82929e-13 2.23709e-12
494 1.72541e-12 6.46805e-12 6.69423e-12
495 2.64934e-13 -6.03058e-12 6.0364e-12
496 2.31539e-13 1.41372e-12 1.43256e-12
497 -7.25785e-13 -2.34544e-11 2.34656e-11
498 -1.74767e-12 6.37065e-12 6.60602e-12
499 1.5807e-11 -1.13487e-11 1.9459e-11
500 5.85526e-13 5.76175e-12 5.79143e-12
501 -2.1916e-11 -5.46748e-11 5.89037e-11
502 1.78775e-12 -5.15619e-12 5.45732e-12
503 -5.34988e-12 1.0294e-11 1.16012e-11
504 8.41554e-13 -1.44823e-12 1.67499e-12
505 -3.12355e-12 1.30686e-12 3.38591e-12
506 7.68085e-13 -3.25045e-12 3.33996e-12
507 2.2486e-12 7.29291e-12 7.63169e-12
508 -4.39701e-12 1.71428e-13 4.40035e-12
509 -2.02819e-12 9.63668e-12 9.8478e-12
510 -1.13521e-11 8.33817e-12 1.40853e-11
511 9.52871e-12 1.29127e-12 9.6158e-12
512 1.99034e-12 -6.44997e-12 6.75008e-12
513 3.56213e-13 -1.55565e-13 3.88701e-13
514 4.92465e-12 -3.02336e-12 5.77866e-12
515 -3.49646e-11 -2.49906e-12 3.50538e-11
516 9.97397e-13 2.26028e-12 2.47056e-12
517 1.76548e-12 -2.35407e-12 2.94254e-12
518 -2.22633e-12 -7.55673e-12 7.87786e-12
519 2.7896e-12 -4.08894e-12 4.94988e-12
520 -1.53617e-13 -7.42733e-12 7.42891e-12
521 -2.41557e-12 4.31352e-13 2.45378e-12
522 3.19924e-12 -4.51417e-12 5.53289e-12
523 8.19291e-13 -4.52502e-13 9.35946e-13
524 1.36474e-12 1.24736e-11 1.2548e-11
